# Source: network-log.json, 454 requests, 30s before + 30s after consent click, recorded 2026-09-23T18:06:55.946Z.
# Reproduce: DevTools Network (Preserve log), load the page, wait 30 s, click "Allow Cookies", wait 30 s; sort by Domain.
# By resource type: Script 140, Image 135, Fetch 91, XHR 34, Document 17, Ping 12, Font 9, Other 9, Stylesheet 5, Manifest 1, Media 1
# Distinct hosts: 150; data:/blob: URLs: 5

requests  before-consent  host
      28              28  pagead2.googlesyndication.com
      22              22  img.atlasobscura.com
      20              20  static.klaviyo.com
      15              15  fundingchoicesmessages.google.com
      15              13  dt.adsafeprotected.com
      11              11  cm.g.doubleclick.net
      10              10  cdn.cookielaw.org
      10              10  ids.ad.gt
       9               9  prebid-server.pbstck.com
       8               8  www.atlasobscura.com
       8               8  assets.atlasobscura.com
       8               8  fonts.atlasobscura.com
       8               8  www.gstatic.com
       8               8  analytics.tiktok.com
       8               8  www.googleadservices.com
       7               7  www.googletagmanager.com
       7               7  www.google.com
       6               6  www.recaptcha.net
       6               5  analytics.google.com
       6               6  pixel.quantserve.com
       6               6  api.anonymised.io
       6               4  a.clarity.ms
       5               5  t.atlasobscura.com
       5               5  ids.api.gcprivacy.id
       5               5  securepubads.g.doubleclick.net
       5               5  static-tracking.klaviyo.com
       5               5  us-u.openx.net
       5               5  ep2.adtrafficquality.google
       4               4  cdn.confiant-integrations.net
       4               4  ads.servenobid.com
       4               4  www.stay22.com
       4               4  ct.pinterest.com
       4               4  tpc.googlesyndication.com
       4               4  ep1.adtrafficquality.google
       4               4  cookies.nextmillmedia.com
       3               3  images.atlasobscura.com
       3               3  cat1.hbwrapper.com
       3               3  cdn1.anonymised.io
       3               3  a.ad.gt
       3               3  ad.doubleclick.net
       3               3  cdn.pbstck.com
       3               3  www.googletagservices.com
       3               3  pixel.adsafeprotected.com
       2               2  14cf157d461e44b3b8cfb6814613286b.js.ubembed.com
       2               2  dc.arrivalist.com
       2               2  admd.ink
       2               2  cdn.jsdelivr.net
       2               2  ex.ingage.tech
       2               2  b-s.tercept.com
       2               2  fast.nexx360.io
       2               2  sb.scorecardresearch.com
       2               2  cdn.hadronid.net
       2               2  boot.pbstck.com
       2               2  stats.g.doubleclick.net
       2               2  s.pinimg.com
       2               2  cdn.keywee.co
       2               2  id.hadron.ad.gt
       2               2  script.hotjar.com
       2               2  connect.facebook.net
       2               2  dsum-sec.casalemedia.com
       2               2  intake.pbstck.com
       2               2  cdn.ampproject.org
       2               2  us-east-google-rtb.quantserve.com:8443
       2               2  content.quantcount.com
       2               2  pixel.quantcount.com
       2               2  jsconfig.adsafeprotected.com
       2               2  googleads4.g.doubleclick.net
       2               2  cdn.doubleverify.com
       2               2  eus.rubiconproject.com
       2               2  bam.nr-data.net
       2               2  privacyportal.onetrust.com
       1               1  plausible.io
       1               1  cdn.adapex.io
       1               1  cdn.nolt.io
       1               1  tag.yieldoptimizer.com
       1               1  static.cloudflareinsights.com
       1               1  s3.amazonaws.com
       1               1  geolocation.onetrust.com
       1               1  s.cdn.gcprivacy.net
       1               1  static.anonymised.io
       1               1  api.rlcdn.com
       1               1  hbwrapper.nyc3.cdn.digitaloceanspaces.com
       1               1  htlb.casalemedia.com
       1               1  rt.marphezis.com
       1               1  i.connectad.io
       1               1  us-e.floxis.tech
       1               1  prebid.trustedstack.com
       1               1  pbs.nextmillmedia.com
       1               1  a.bids.ws
       1               1  ads-jbhvvq.rtba.bidsxchange.com
       1               1  exchange.omni-dex.io
       1               1  web.ads.aps.amazon-adsystem.com
       1               1  node.pbstck.com
       1               1  hb-analytics.nextmillmedia.com
       1               1  fst.onl
       1               1  secure.quantserve.com
       1               1  assets.ubembed.com
       1               1  static.anonm.io
       1               1  fast.a.klaviyo.com
       1               1  a.klaviyo.com
       1               1  tr.blismedia.com
       1               1  fonts.gstatic.com
       1               1  static.hotjar.com
       1               1  www.clarity.ms
       1               1  scripts.stay22.com
       1               1  rules.quantcount.com
       1               1  image6.pubmatic.com
       1               1  p.ad.gt
       1               1  ids4.ad.gt
       1               1  token.rubiconproject.com
       1               1  static-forms.klaviyo.com
       1               1  scripts.clarity.ms
       1               1  pixels.ad.gt
       1               1  account.anonymised.io
       1               1  googleads.g.doubleclick.net
       1               1  px.ads.linkedin.com
       1               1  image2.pubmatic.com
       1               1  pixel.rubiconproject.com
       1               1  c1.adform.net
       1               1  analytics-ipv6.tiktokw.us
       1               1  aegis.anonymised.io
       1               1  id.h2.stay22.com
       1               1  static.criteo.net
       1               1  oa.openxcdn.net
       1               1  invstatic101.creativecdn.com
       1               1  80e51f89c4d7dffeff91bf44de556069.safeframe.googlesyndication.com
       1               1  fw.adsafeprotected.com
       1               1  creative-measurement.quantcount.com
       1               1  protected-by.clarium.io
       1               1  exch.quantcount.com
       1               1  www.facebook.com
       1               1  pixel-ssn.quantcount.com
       1               1  csync.smilewanted.com
       1               1  gum.criteo.com
       1               1  static.adsafeprotected.com
       1               1  s0.2mdn.net
       1               1  mug.criteo.com
       1               1  tps.doubleverify.com
       1               1  tps-dn-ue1.doubleverify.com
       1               1  js-agent.newrelic.com
       1               1  c.clarity.ms
       1               1  ssum-sec.casalemedia.com
       1               1  hb.trustedstack.com
       1               1  sync.omni-dex.io
       1               1  tracker.iionads.com
       1               1  px-us-e.floxis.tech
       1               1  image8.pubmatic.com
       1               1  sync.connectad.io
       1               1  csi.gstatic.com
       1               1  tpsc-ue1.doubleverify.com
